Codigo;Materia;Credito
DRE238;Derecho Registral;2
PSJ239;Proyecto Socio Jurídico Comunitario I;2
DCI202;Derecho Civil II;2
PJU240;Prácticas Jurídicas I;2
ELT241;Electiva I;2
DAD323;Derecho Administrativo;2
DEP333;Derecho Penal II;2
DLA343;Derecho Laboral;2
DDF353;Derecho Familiar;2
OBL363;Obligaciones I;2
DIP373;Derecho Internacional Público;2
TGP383;Teoría General del Proceso;2
DPR393;Derecho Tributario;2
PSJ339;Proyecto Socio Jurídico II;2
PJU340;Prácticas Jurídicas II;0
ELT341;Electiva II;1
DCA414;Derecho Contencioso Administrativo;2
DPP424;Derecho Procesal Penal I;2
DPL434;Derecho Procesal Laboral I;2
DSU454;Derecho en Sucesiones;2
OBL464;Obligaciones II;2
DIP474;Derecho Internacional Privado;2
DPC484;Derecho Procesal Civil I;2
DPR494;Derecho Probatorio I;2
PSJ439;Proyecto Socio Jurídico III;2
PJU440;Prácticas Jurídicas III;2
ELT441;Electiva III;1
DPP515;Derecho Procesal Penal II;2
OBL525;Obligaciones III;2
DPC535;Derecho Procesal Civil II;2
DME545;Derecho Mercantil;2
DPR555;Derecho Probatorio II;2
CGA565;Contratos y Garantías;2
PSJ539;Proyecto Socio Jurídico IV;2
PJU540;Prácticas Jurídicas IV;2
ELT541;Electiva IV;2
PAS509;Pasantías;2
STG510;Seminario Tesina de Grado;1
MOC143;Morfosintaxis del Castellano;3
CSP122;Comunicación Social en el Periodismo;2
PSC122;Psicología de la Comunicación;2
EST122;Estadística;2
DAC143;Deporte, Arte y Cultura;3
PEB122;Pensamiento Bolivariano;2
PRI222;Periodismo Informativo;2
CSR233;Comunicación Social en la Radio;3
CSC233;Comunicación Social en Cine;3
CST233;Comunicación Social en la Televisión;3
CSF233;Comunicación Social en la Fotografía;3
TREI243;Taller de Redacción y Estilo I;3
PCSI343;Proyecto Comunitario Socio Comunicacional I;3
TREII343;Taller de Redacción y Estilo II;3
COG322;Comunicación Gráfica;2
PER322;Periodismo Radiofónico;2
LPC343;Lenguaje y Planificación Cinematográfica;3
PRT343;Periodismo Televisivo;3
EIS443;Estética de la Imagen y el Sonido;3
TEC422;Teoría de la Comunicación;2
OPP422;Opinión Pública;2
FS422;Formación Sociopolítica;2
PCSII464;Proyecto Comunitario Socio Comunicacional II;4
ELM422;Ética y Legislación de Medios y del Periodismo;2
PCSIII564;Proyecto Comunitario Sociocomunicacional III;4
SOC522;Sociología de la Comunicación;2
INC543;Investigación de la Comunicación;3
PRI522;Periodismo Interpretativo;2
PEO543;Periodismo de Opinión;3
EP522;Economía Política;2
PRT643;Producción de Televisión;3
PRR643;Producción de Radio;3
PRC643;Producción de Cine;3
SFSCI622;Seminario de Formación Socio Crítica I;2
PCSIV643;Proyecto Comunitario Sociocomunicacional IV;3
SEM622;Semiología;2
FOT722;Fotoperiodismo;2
SFSCII732;Seminario de Formación Socio Crítica II;2
PEC722;Periodismo Científico;2
MOA743;Montajes Audiovisuales;3
REP722;Relaciones Públicas;2
PCSV743;Proyecto Comunitario Sociocomunicacional V;3
TEI732;Tecnología de la Información;2
LOB832;Locución Básica;2
PUB843;Publicidad;3
IDM822;Idioma Moderno;2
SFSCIII843;Seminario de Formación Socio Crítica III;3
PE822;Periodismo Económico;2
PCSVI843;Proyecto Comunitario Sociocomunicacional VI;3
OPI822;Orientación Profesional I;2
GEC943;Gerencia Corporativa;3
MER943;Mercadeo;3
LP932;Locución Profesional;2
PCSVII943;Proyecto Comunitario Sociocomunicacional VII;4
PPOL922;Periodismo Político;2
OPII922;Orientación Profesional;2
VPCSC1084;Vinculación Profesional en el Campo Sociocomunicacional;4
TGE1020;Trabajo Especial de Grado;9
MAT1125;Matemática I;5
LYC162;Lenguaje y Comunicación;2
LM162;Legislación Mercantil;2
CONTI1187;Contabilidad I;7
SOCPP162;Sociopolítica Productiva;2
METI162;Metodología de la Investigación;2
DYR162;Deporte y Recreación;2
